"","Comparison","Annotation","P_value","Lower_CI","Upper_CI","FDR_P"
"489","Overlap-onset vs. controls","Telencephalon.projecting.excitatory.neurons",2.26486124565993e-05,0.00894355005877828,0.0365071628233602,0.000127665530832911
"490","Adult-onset vs. childhood-onset","Telencephalon.projecting.excitatory.neurons",0.222082287554551,-0.00619918199289213,0.0276344671325037,0.266498745065461
"491","Adult-onset vs. overlap-onset","Telencephalon.projecting.excitatory.neurons",0.931897340160445,-0.0204350745737168,0.0185340735736172,0.931897340160445
"492","Childhood-onset vs. overlap-onset","Telencephalon.projecting.excitatory.neurons",0.0318182879591821,-0.0219572040132179,-0.000410326831943431,0.0477274319387732
"493","Adult-onset vs. controls","Telencephalon.projecting.inhibitory.neurons",0.0543982114694997,-1.07381326320103e-05,0.0452439393884146,0.108796422938999
"494","Childhood-onset vs. controls","Telencephalon.projecting.inhibitory.neurons",5.6269933603266e-09,0.0105773931325107,0.0260553808389905,3.37619601619596e-08
"495","Overlap-onset vs. controls","Telencephalon.projecting.inhibitory.neurons",0.000316681823410387,0.00418329721423004,0.030445733326365,0.000950045470231161
"496","Adult-onset vs. childhood-onset","Telencephalon.projecting.inhibitory.neurons",0.94008361807457,-0.0184463220768997,0.0164470679312937,0.94008361807457
"497","Adult-onset vs. overlap-onset","Telencephalon.projecting.inhibitory.neurons",0.925408422740731,-0.0233811684922089,0.0201030066471491,0.94008361807457
"498","Childhood-onset vs. overlap-onset","Telencephalon.projecting.inhibitory.neurons",0.893374283979216,-0.0118706025029996,0.0102735664608647,0.94008361807457
"499","Adult-onset vs. controls","Neuroblasts",0.198647196758697,-9.76564687909552e-06,0.00246950277337701,0.397294393517394
"500","Childhood-onset vs. controls","Neuroblasts",7.45038408813817e-08,0.000246118443639826,0.00209295973783535,4.4702304528829e-07
"501","Overlap-onset vs. controls","Neuroblasts",9.59625842188943e-05,0.000333660316951919,0.0027615965361274,0.000287887752656683
"502","Adult-onset vs. childhood-onset","Neuroblasts",0.718790282187566,-0.00262365904390396,0.00183420212672856,0.741332198441246
"503","Adult-onset vs. overlap-onset","Neuroblasts",0.644293858484199,-0.00296051309624759,0.00187051233134572,0.741332198441246
"504","Childhood-onset vs. overlap-onset","Neuroblasts",0.741332198441246,-0.00119856179993179,0.00101692423083751,0.741332198441246
"505","Adult-onset vs. controls","Granule_neurons",0.0613040388141749,-7.73260570805535e-06,0.0040041408831037,0.12260807762835
"506","Childhood-onset vs. controls","Granule_neurons",2.22548784001002e-08,0.000900141601779905,0.00261267871937507,1.33529270400601e-07
"507","Overlap-onset vs. controls","Granule_neurons",0.000146459316247221,0.000693876869909643,0.00298361013759757,0.000439377948741664
"508","Adult-onset vs. childhood-onset","Granule_neurons",0.678568786445656,-0.0016893340593388,0.00207366400043156,0.813325906539455
"509","Adult-onset vs. overlap-onset","Granule_neurons",0.813325906539455,-0.00208553446816476,0.00211338028450995,0.813325906539455
"510","Childhood-onset vs. overlap-onset","Granule_neurons",0.699100913565803,-0.00122396346380363,0.000848589011971264,0.813325906539455
"511","Adult-onset vs. controls","Glutamatergic_neuroblasts",0.0690538066133416,-6.51758802746362e-05,0.00467150427442624,0.103580709920012
"512","Childhood-onset vs. controls","Glutamatergic_neuroblasts",3.15893837925903e-06,4.35392998869496e-07,0.0019442061814658,9.4768151377771e-06
"513","Overlap-onset vs. controls","Glutamatergic_neuroblasts",4.72279881623502e-09,0.00207460930844891,0.00532667347759551,2.83367928974101e-08
"514","Adult-onset vs. childhood-onset","Glutamatergic_neuroblasts",0.55765400790425,-0.00147754274142275,0.00346244261798511,0.55765400790425
"515","Adult-onset vs. overlap-onset","Glutamatergic_neuroblasts",0.245204316109489,-0.00437650178106624,0.00119573634341371,0.294245179331387
"516","Childhood-onset vs. overlap-onset","Glutamatergic_neuroblasts",0.00220634314022571,-0.00376044136331852,-0.000556144205250656,0.00441268628045141
"517","Adult-onset vs. controls","Granule_interneurons",0.0181075389954458,3.95945290762692e-05,0.00677941080804861,0.0324521125852786
"518","Childhood-onset vs. controls","Granule_interneurons",3.5590862979393e-09,3.75253683033497e-05,0.000872569577284709,1.06772588938179e-08
"519","Overlap-onset vs. controls","Granule_interneurons",3.55445059081327e-12,0.00332020101251873,0.00686649878213531,2.13267035448796e-11
"520","Adult-onset vs. childhood-onset","Granule_interneurons",0.907399524281603,-0.00192955874955733,0.00259249419201783,0.907399524281603
"521","Adult-onset vs. overlap-onset","Granule_interneurons",0.225763188651301,-0.00676299119449681,0.000394837739810829,0.270915826381561
"522","Childhood-onset vs. overlap-onset","Granule_interneurons",0.0216347417235191,-0.00501668280413672,-2.60105089359364e-05,0.0324521125852786
"523","Adult-onset vs. controls","Purkinje_cells",0.000870263262256986,0.00109086153584637,0.00733246891325457,0.00174052652451397
"524","Childhood-onset vs. controls","Purkinje_cells",1.63280319706986e-12,0.000633444012694872,0.00301750477910534,4.89840959120958e-12
"525","Overlap-onset vs. controls","Purkinje_cells",1.52749769064687e-12,0.00314351281872061,0.00628705541567897,4.89840959120958e-12
"526","Adult-onset vs. childhood-onset","Purkinje_cells",0.419672330374319,-0.00139951362342019,0.00498443682552384,0.503606796449182
"527","Adult-onset vs. overlap-onset","Purkinje_cells",0.581657908454424,-0.00535200895791193,0.00290361894513478,0.581657908454424
"528","Childhood-onset vs. overlap-onset","Purkinje_cells",0.027581753266315,-0.00407794353499586,-1.47873069268442e-06,0.0413726298994724
"529","Adult-onset vs. controls","Molecular_interneurons",0.0600762753377031,-4.37124465423766e-05,0.00506458957990389,0.120152550675406
"530","Childhood-onset vs. controls","Molecular_interneurons",4.64479688171768e-11,0.00161241017781714,0.00331931918701783,2.78687812903061e-10
"531","Overlap-onset vs. controls","Molecular_interneurons",1.99933792711188e-08,0.00192593198580561,0.00526559690830539,5.99801378133563e-08
"532","Adult-onset vs. childhood-onset","Molecular_interneurons",0.782539016410034,-0.0028450865878198,0.00191515870204777,0.782539016410034
"533","Adult-onset vs. overlap-onset","Molecular_interneurons",0.226488286541834,-0.00386728421634942,0.000756376975342781,0.271785943850201
"534","Childhood-onset vs. overlap-onset","Molecular_interneurons",0.13896443725363,-0.00252296302981381,0.000237768596452983,0.208446655880446
"535","Adult-onset vs. controls","Inhibitory_neurons",0.561126268116017,-4.27456424820108e-06,2.9548941001619e-05,0.561126268116017
"536","Childhood-onset vs. controls","Inhibitory_neurons",9.27686979754449e-08,2.09687010023122e-05,5.36071080159737e-06,5.56612187852669e-07
"537","Overlap-onset vs. controls","Inhibitory_neurons",5.84609399374603e-06,7.93419776327923e-06,0.00353437132079477,1.75382819812381e-05
"538","Adult-onset vs. childhood-onset","Inhibitory_neurons",0.325905962713019,-0.00336541653384136,2.9034428988792e-05,0.488858944069528
"539","Adult-onset vs. overlap-onset","Inhibitory_neurons",0.188182184654252,-0.00528788006817703,2.77661808578236e-05,0.376364369308505
"540","Childhood-onset vs. overlap-onset","Inhibitory_neurons",0.435393310479324,-0.000883254606418706,5.18029182330022e-05,0.522471972575189
"541","Adult-onset vs. controls","Glia",0.721332739108397,-0.0468518103340458,0.0723322324808765,0.735542326436805
"542","Childhood-onset vs. controls","Glia",3.39388360788832e-08,0.0375355430055386,0.0883348220237985,2.03633016473299e-07
"543","Overlap-onset vs. controls","Glia",0.216979128204775,-0.00748175246736106,0.0488915345779263,0.325468692307163
"544","Adult-onset vs. childhood-onset","Glia",0.0635531484723388,-0.10694983776173,0.00122600573858313,0.127106296944678
"545","Adult-onset vs. overlap-onset","Glia",0.735542326436805,-0.0623399570155601,0.0430298624550943,0.735542326436805
"546","Childhood-onset vs. overlap-onset","Glia",0.0147768619905375,0.00728268492701401,0.0764795322721125,0.0443305859716124
"547","Adult-onset vs. controls","Immune.cells",0.0540814541520644,-5.38741902653646e-05,0.102189385672612,0.084233652005193
"548","Childhood-onset vs. controls","Immune.cells",5.12764444472943e-09,0.0248795799986935,0.0595913484075985,3.07658666683766e-08
"549","Overlap-onset vs. controls","Immune.cells",0.056155768003462,-3.68685047549355e-05,0.0299196013454257,0.084233652005193
"550","Adult-onset vs. childhood-onset","Immune.cells",0.964028510643288,-0.0529701794266988,0.0568752427519443,0.964028510643288
"551","Adult-onset vs. overlap-onset","Immune.cells",0.256085912595782,-0.015849779012468,0.0884070502976328,0.307303095114938
"552","Childhood-onset vs. overlap-onset","Immune.cells",0.0411624391580342,1.00932436692445e-05,0.0621398007246723,0.084233652005193
"553","Adult-onset vs. controls","Neurons",0.202058172551304,-0.0255819718546525,0.161837990115472,0.303087258826956
"554","Childhood-onset vs. controls","Neurons",0.0267442569954896,3.56937238526361e-05,0.0557382528036423,0.0534885139909792
